,Description,TotalSalesDollars,ProfitMargin
916,Bota Brick Chard,269.74,20.99058352487581
917,Bota Brick Pnt Grigio,387.63,17.529602971906197
918,Bota Mini Cab Svgn,6802.950000000001,36.27411637598396
920,Bota Mini Merlot,258.65999999999997,12.317327766179536
921,Bota Mini Moscato,593.96,17.312613644016427
923,Bota Mini RedVolution,614.63,25.14520931291996
924,Botani 13 Muscat Srra Malaga,4074.58,62.47171487613448
925,Botromagno Gravina,89.88,30.97463284379172
928,Bouchard Aine & Fils Pnt Nr,7971.76,3.679112266300039
929,Boundary Breaks Dry Rsl #239,721.62,12.862725534214691
930,Boundary Breaks OLN Rsl,6440.83,15.116530012436288
931,Boundary Breaks Rsl Rsv #198,359.82,8.68767717191929
932,Bouvet Brut,2064.21,32.93124246079614
933,Bouvier Marsannay Rose,545.79,62.64497334139504
934,Bouvier Morey St Denis Rue d,1812.63,98.1981981981982
935,Bouza Tannat Las Violetas,5664.99,32.300851369552284
936,Bouza Temp Tannat,699.72,15.417595609672437
940,Bowman's Gin,144.67000000000002,19.706919195410254
941,Bowman's Light Vodka,618.88,75.84022750775596
942,Bowman's Rum,172.27,15.632437452835667
